2023 National Employment Matrix title,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2023[1]",Typical education needed for entry
"  Secretaries and administrative assistants, except legal, medical, and executive","1,982.3","1,976.2",-6.1,-0.3,"44,280",High school diploma or equivalent
  Data entry keyers,163.9,122.8,-41.0,-25.0,"37,790",High school diploma or equivalent
  Word processors and typists,39.9,24.8,-15.2,-38.0,"46,450",High school diploma or equivalent
  Desktop publishers,6.4,5.6,-0.9,-13.4,"51,290",Associate's degree
  Insurance claims and policy processing clerks,271.8,261.3,-10.5,-3.9,"46,900",High school diploma or equivalent
"  Mail clerks and mail machine operators, except postal service",70.6,66.2,-4.4,-6.2,"36,880",High school diploma or equivalent
"  Office clerks, general","2,645.8","2,498.2",-147.5,-5.6,"40,480",High school diploma or equivalent
"  Office machine operators, except computer",29.2,24.8,-4.4,-15.1,"37,450",High school diploma or equivalent
  Proofreaders and copy markers,6.7,6.5,-0.2,-3.4,"48,790",Bachelor's degree
  Statistical assistants,7.9,7.9,0.0,0.2,"50,510",Bachelor's degree
"  Office and administrative support workers, all other[2]",206.8,190.8,-16.0,-7.7,"43,230",High school diploma or equivalent
"  First-line supervisors of farming, fishing, and forestry workers",68.9,71.0,2.1,3.1,"57,320",High school diploma or equivalent
  Agricultural inspectors,13.3,13.9,0.5,3.9,"48,010",Bachelor's degree
  Animal breeders,6.7,6.9,0.2,2.4,"47,540",High school diploma or equivalent
"  Graders and sorters, agricultural products",32.2,30.6,-1.5,-4.7,"34,360",No formal educational credential
  Agricultural equipment operators,62.7,68.0,5.3,8.4,"39,690",No formal educational credential
"  Farmworkers and laborers, crop, nursery, and greenhouse",497.3,485.4,-11.9,-2.4,"34,470",No formal educational credential
"  Farmworkers, farm, ranch, and aquacultural animals",204.7,194.1,-10.6,-5.2,"35,120",No formal educational credential
"  Agricultural workers, all other[2]",11.0,11.3,0.3,2.5,"40,620",No formal educational credential
  Fishing and hunting workers,25.5,25.3,-0.2,-0.7,—,No formal educational credential
  Forest and conservation workers,10.9,10.5,-0.4,-3.8,"33,940",High school diploma or equivalent
  Fallers,6.9,6.3,-0.6,-8.4,"53,170",High school diploma or equivalent
  Logging equipment operators,34.1,32.8,-1.3,-3.8,"48,240",High school diploma or equivalent
  Log graders and scalers,5.2,5.1,-0.1,-1.5,"45,600",High school diploma or equivalent
"  Logging workers, all other[2]",3.7,3.4,-0.3,-7.4,"52,480",High school diploma or equivalent
  First-line supervisors of construction trades and extraction workers,853.2,903.4,50.3,5.9,"76,760",High school diploma or equivalent
  Boilermakers,11.3,11.2,-0.1,-1.2,"71,140",High school diploma or equivalent
  Brickmasons and blockmasons,72.6,75.0,2.4,3.3,"59,640",High school diploma or equivalent
  Stonemasons,12.4,12.0,-0.4,-3.6,"51,830",High school diploma or equivalent
  Carpenters,923.1,961.6,38.6,4.2,"56,350",High school diploma or equivalent
  Carpet installers,20.3,18.5,-1.8,-8.9,"47,520",No formal educational credential
"  Floor layers, except carpet, wood, and hard tiles",32.8,36.1,3.3,10.1,"48,840",No formal educational credential
  Floor sanders and finishers,6.6,6.8,0.2,2.5,"47,760",No formal educational credential
  Tile and stone setters,55.6,61.4,5.8,10.4,"48,910",No formal educational credential
  Cement masons and concrete finishers,211.8,210.3,-1.5,-0.7,"50,720",No formal educational credential
  Terrazzo workers and finishers,1.5,1.4,-0.1,-8.4,"48,900",High school diploma or equivalent
  Construction laborers,"1,401.2","1,516.6",115.4,8.2,"45,300",No formal educational credential
