AREA_TITLE,OCC_TITLE,H_MEDIAN,A_MEDIAN
California,Surveying and Mapping Technicians,34.85,"72,490"
California,"Life, Physical, and Social Science Occupations",46.55,"96,830"
California,Animal Scientists,65.26,"135,730"
California,Food Scientists and Technologists,42.01,"87,390"
California,Soil and Plant Scientists,39.29,"81,720"
California,Biochemists and Biophysicists,61.51,"127,940"
California,Microbiologists,49.31,"102,570"
California,Zoologists and Wildlife Biologists,40.53,"84,300"
California,"Biological Scientists, All Other",52.96,"110,150"
California,Conservation Scientists,38.25,"79,550"
California,Foresters,40.35,"83,930"
California,Epidemiologists,47.76,"99,340"
California,"Medical Scientists, Except Epidemiologists",61.69,"128,320"
California,"Life Scientists, All Other",64.39,"133,930"
California,Astronomers,66.81,"138,970"
California,Physicists,85.91,"178,700"
California,Atmospheric and Space Scientists,55.24,"114,900"
California,Chemists,46.74,"97,210"
California,Materials Scientists,62.63,"130,260"
California,"Environmental Scientists and Specialists, Including Health",46.10,"95,890"
California,"Geoscientists, Except Hydrologists and Geographers",48.52,"100,930"
California,Hydrologists,54.01,"112,350"
California,"Physical Scientists, All Other",61.02,"126,910"
California,Economists,50.94,"105,950"
California,Survey Researchers,34.17,"71,060"
California,Industrial-Organizational Psychologists,66.10,"137,480"
California,Clinical and Counseling Psychologists,60.80,"126,450"
California,School Psychologists,51.34,"106,790"
California,"Psychologists, All Other",68.92,"143,350"
California,Sociologists,55.01,"114,410"
California,Urban and Regional Planners,50.44,"104,910"
California,Anthropologists and Archeologists,34.59,"71,950"
California,Geographers,46.62,"96,970"
California,Historians,41.93,"87,210"
California,Political Scientists,57.36,"119,320"
California,"Social Scientists and Related Workers, All Other",46.23,"96,160"
California,Agricultural Technicians,20.79,"43,230"
California,Food Science Technicians,24.20,"50,330"
California,Biological Technicians,30.14,"62,680"
California,Chemical Technicians,27.83,"57,890"
California,"Environmental Science and Protection Technicians, Including Health",28.19,"58,640"
California,"Geological Technicians, Except Hydrologic Technicians",31.66,"65,840"
California,Hydrologic Technicians,31.16,"64,810"
California,Nuclear Technicians,38.15,"79,350"
California,Social Science Research Assistants,30.88,"64,220"
California,Forest and Conservation Technicians,28.13,"58,510"
California,Forensic Science Technicians,43.08,"89,610"
California,"Life, Physical, and Social Science Technicians, All Other",34.38,"71,510"
California,Occupational Health and Safety Specialists,49.32,"102,580"
California,Occupational Health and Safety Technicians,27.08,"56,330"
California,Community and Social Service Occupations,28.95,"60,220"
California,"Educational, Guidance, and Career Counselors and Advisors",37.33,"77,640"
California,Marriage and Family Therapists,25.11,"52,230"
California,Rehabilitation Counselors,21.10,"43,890"
California,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",27.92,"58,080"
California,"Counselors, All Other",21.34,"44,380"
California,"Child, Family, and School Social Workers",31.66,"65,840"
California,Healthcare Social Workers,43.17,"89,800"
California,Mental Health and Substance Abuse Social Workers,34.35,"71,450"
California,"Social Workers, All Other",30.61,"63,680"
California,Health Education Specialists,34.75,"72,280"
California,Probation Officers and Correctional Treatment Specialists,50.26,"104,540"
California,Social and Human Service Assistants,23.17,"48,190"
California,Community Health Workers,25.22,"52,460"
California,"Community and Social Service Specialists, All Other",24.17,"50,280"
California,Clergy,36.09,"75,060"
California,"Directors, Religious Activities and Education",30.16,"62,730"
California,"Religious Workers, All Other",20.54,"42,730"
California,Legal Occupations,62.91,"130,840"
California,Lawyers,88.96,"185,050"
California,Judicial Law Clerks,32.01,"66,590"
California,Paralegals and Legal Assistants,36.12,"75,140"
California,"Title Examiners, Abstractors, and Searchers",37.66,"78,330"
California,"Legal Support Workers, All Other",35.59,"74,030"
California,Educational Instruction and Library Occupations,33.17,"68,990"
California,"Business Teachers, Postsecondary",*,"107,750"
California,"Computer Science Teachers, Postsecondary",*,"139,150"
California,"Mathematical Science Teachers, Postsecondary",*,"128,080"
California,"Architecture Teachers, Postsecondary",*,"127,390"
California,"Engineering Teachers, Postsecondary",*,"132,570"
California,"Agricultural Sciences Teachers, Postsecondary",*,"112,070"
California,"Biological Science Teachers, Postsecondary",*,"124,290"
California,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",*,"125,770"
California,"Chemistry Teachers, Postsecondary",*,"125,700"
California,"Environmental Science Teachers, Postsecondary",*,"117,080"
California,"Physics Teachers, Postsecondary",*,"125,440"
California,"Anthropology and Archeology Teachers, Postsecondary",*,"109,000"
California,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",*,"115,840"
California,"Economics Teachers, Postsecondary",*,"137,540"
